id_processo;id_cliente;nome_cliente;segmento;tipo_processo;valor_contrato;status;data_abertura;data_analise;data_aprovacao;data_emissao;dt_envio;data_recebimento;dt_pgto;data_liquidacao;data_vencimento;dt_cancel
PROC-0001;CLI-0051;Empresa 0051;PJ;Consórcio;71475.14;Em Análise;08/03/2024;13/03/2024;17/03/2024;18/03/2024;22/03/2024;;;;17/04/2024;
PROC-0002;CLI-0014;Cliente 0014;PF;Financiamento;101300.85;Liquidado;03/02/2024;05/02/2024;12/02/2024;14/02/2024;18/02/2024;26/02/2024;12/03/2024;16/03/2024;15/03/2024;
PROC-0003;CLI-0006;Cliente 0006;PF;Consórcio;56942.3;Cancelado;30/03/2024;01/04/2024;;;;;;;;16/04/2024
PROC-0004;CLI-0040;Cliente 0040;PF;Crédito Pessoal;14182.95;Liquidado;18/01/2024;20/01/2024;22/01/2024;23/01/2024;25/01/2024;28/01/2024;10/02/2024;13/02/2024;22/02/2024;
PROC-0005;CLI-0028;Cliente 0028;PF;Leasing;82491.55;Liquidado;03/03/2024;05/03/2024;09/03/2024;10/03/2024;14/03/2024;17/03/2024;19/03/2024;23/03/2024;09/04/2024;
PROC-0006;CLI-0055;Cliente 0055;PF;Consórcio;36585.34;Liquidado;04/04/2024;09/04/2024;13/04/2024;15/04/2024;17/04/2024;23/04/2024;28/04/2024;02/05/2024;15/05/2024;
PROC-0007;CLI-0060;Cliente 0060;PF;Financiamento;67298.25;Em Análise;13/03/2024;14/03/2024;;;;;;;;
PROC-0008;CLI-0016;Cliente 0016;PF;Leasing;35718.46;Liquidado;10/02/2024;15/02/2024;20/02/2024;23/02/2024;27/02/2024;01/03/2024;05/03/2024;08/03/2024;24/03/2024;
PROC-0009;CLI-0054;Cliente 0054;PF;Leasing;43937.84;Pago;22/04/2024;26/04/2024;02/05/2024;04/05/2024;07/05/2024;12/05/2024;15/05/2024;;03/06/2024;
PROC-0010;CLI-0022;Cliente 0022;PF;Financiamento;125109.82;Liquidado;19/05/2024;21/05/2024;26/05/2024;29/05/2024;02/06/2024;07/06/2024;15/06/2024;19/06/2024;28/06/2024;
PROC-0011;CLI-0029;Cliente 0029;PF;Crédito Pessoal;53974.5;Em Análise;18/03/2024;19/03/2024;;;;;;;;
PROC-0012;CLI-0044;Cliente 0044;PF;Financiamento;88800.38;Pago;05/06/2024;06/06/2024;08/06/2024;10/06/2024;12/06/2024;16/06/2024;26/06/2024;;10/07/2024;
PROC-0013;CLI-0008;Cliente 0008;PF;Consórcio;87090.61;Liquidado;16/06/2024;18/06/2024;19/06/2024;21/06/2024;23/06/2024;25/06/2024;07/07/2024;08/07/2024;21/07/2024;
PROC-0014;CLI-0041;Cliente 0041;PF;Consórcio;75374.0;Liquidado;15/05/2024;20/05/2024;21/05/2024;24/05/2024;25/05/2024;31/05/2024;08/06/2024;09/06/2024;23/06/2024;
PROC-0015;CLI-0015;Cliente 0015;PF;Consórcio;54842.24;Liquidado;03/01/2024;08/01/2024;10/01/2024;13/01/2024;16/01/2024;19/01/2024;01/02/2024;02/02/2024;12/02/2024;
PROC-0016;CLI-0018;Cliente 0018;PF;Consórcio;103970.03;Liquidado;19/06/2024;20/06/2024;26/06/2024;29/06/2024;30/06/2024;04/07/2024;08/07/2024;12/07/2024;29/07/2024;
PROC-0017;CLI-0021;Cliente 0021;PF;Financiamento;12019.34;Em Análise;21/05/2024;25/05/2024;31/05/2024;01/06/2024;02/06/2024;;;;01/07/2024;
PROC-0018;CLI-0018;Cliente 0018;PF;Financiamento;19438.34;Pago;17/03/2024;22/03/2024;29/03/2024;30/03/2024;01/04/2024;07/04/2024;18/04/2024;;29/04/2024;
PROC-0019;CLI-0037;Empresa 0037;PJ;Leasing;118664.02;Liquidado;18/06/2024;22/06/2024;26/06/2024;28/06/2024;30/06/2024;07/07/2024;21/07/2024;22/07/2024;28/07/2024;
PROC-0020;CLI-0054;Cliente 0054;PF;Consórcio;71639.36;Liquidado;27/01/2024;01/02/2024;06/02/2024;09/02/2024;10/02/2024;14/02/2024;23/02/2024;24/02/2024;10/03/2024;
PROC-0021;CLI-0009;Empresa 0009;PJ;Consórcio;23014.39;Cancelado;04/02/2024;09/02/2024;;;;;;;;14/02/2024
PROC-0022;CLI-0059;Cliente 0059;PF;Financiamento;129359.48;Pago;08/03/2024;10/03/2024;15/03/2024;17/03/2024;19/03/2024;27/03/2024;08/04/2024;;16/04/2024;
